prod_name,prod_desc,prod_rating,prod_no_rating,prod_no_sold,prod_pref,sell_name,sell_rating,sell_no_products,sell_resprate,sell_resptime,sell_follower,sell_joined
SHIN•KOREA NONG SHIM JJAWANG JJAJANGMYUN BLACK BEAN PASTE RAMEN,,4.9,282,790,True,"Bundle Deals
Any 3 enjoy 2% off","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""d57449b7-7f22-4040-becd-5ad094dd6365"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""024610cc-0a43-435b-a8d2-386e551b9983"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""f4e77a55-0ca3-4aa9-bf60-b2c4d94b64c1"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""dd2f8d3d-471c-4895-a758-f99edf78f0dd"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""235bae6c-5c2a-47b1-87dc-bd23140a9b40"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""3753fdf5-fbb5-4062-8539-153c469c87f9"")>"
NongShim Shin Ramen Non-Frying Noodle 97g NongShim Squid Champong Noodle Soup 124g 无油炸拉面 辛拉面 鱿鱼面 农心 Farmer's Heart,"Without HALAL logo

Weight: 97g&124g

Flavour:
1. NongShim Shin Ramen Non-Frying Noodle 97g (Best Before: 10/2021)
2. NongShim Squid Champong Noodle Soup 124g (Best Before: 10/2021)

⛔Allergy Information: 
This product may contains squid

📣Please take note the following:
💜All products are ready stock. 
💜If you want to avoid the least damages may pay for the extra bubble wrap or extra cardboard box. Within the progress of delivering, it may cause damages to the packaging but not the food inside.
💜All the orders will be processed ASAP and dispatched out in 1-2 working days (Monday to Saturday).
💜Please take note that once order confirmed, address can’t be changed.
💜Please take a video during opening the parcel. If there is any damage without prove of videos/photos, no compensation will be made, we are not responsible for any problems without prove! If cannot accept this term, please consider when purchasing.
💜Any damage on the products or delivery problems, please contact us to assist you before rating. Any complaint made after rating will not be entertained as transaction is considered finalise by your side.",5.0,2,17,True,snackdaddy,15.6k,265,97%,within hours,11.7k,7 months ago
(MADE FROM KOREA) Halal NongShim Shin Ramyun Ramen (120g X 5pack) 600g,"[ Key Features ]
- Nongshim Shin Ramyun that makes a man cry!
- If you prefer rather hot and spicy flavor,
      try our clean and spicy essence of flavor Shin Ramyun.
- Stress buster by ""spicy & tasty beef soup""
- Chewy & soft noodles 

- Origin : Made in Korea
- Net Weight : 120g 
- Quantity :  5 ea 
- Manufacturer : Nongshim 

[ How to cook ]
- Stove Top
     Step 01. Boiling water
      Boil 550 mL (about 2 1/3 cups) of water. Add noodles, soup base, 
      and vegetable mix. 
     Step 02. Cooking noodles
      Cook for 4-5 minutes, stirring occasionally. 
     Step 03. Enjoy
      Remove from heat and serve. 

- Microwave (1000W)
     Step 01. Put ingredients
      Put soup base and vegetable mix into a microwaveable bowl, 
      then add noodles on top. 
     Step 02. Pour water
      Pour 470 mL (about 2 cups) of room temperature water. 
     Step 03. Cooking Noodles
      Place a microwaveable cover on the bowl. Cook for 7 minutes. 
      When using hot water, cook for 4 minutes.",5.0,51,140,False,familysgrocer,15.4k,469,90%,within hours,3.2k,25 months ago
NongShim -KOREA/CHINA Shin Ramyun Ramen/ kimchi,"product of china 

shin halal --china  exp 12/2021
kimchi halal --china exp 4/2021
claypot halal --china exp 4/2021
shin shrimp--china exp 4/2021

product of korea 
RAMEN 
ANCHOVY KALGUKSON RAMYUN MULTI 5S 
ANSUNGTANGMYUN MULTI 5S 
ANSUNGTANGMYUN SEAFOOD 5S 
SHIN RAMEN 5'S 
SHIN NON FRING RAMEN 5S
CHAMPONG NOODLE 






Shin Ramyun/Ramyeon is a brand of instant noodle (including cup ramyeon) that is produced by a South Korean food company Nongshim since October, 1986. It is now exported to over 100 countries, and is the highest selling instant noodle brand in South Korea. 

#korearamen #ramen #shin",4.9,373,1.3k,True,sheaurou90,57.7k,435,89%,within hours,15.4k,4 years ago
NongShim Shin Ramen Non-Frying Noodle 97g NongShim Squid Champong Noodle Soup 124g 无油炸拉面 辛拉面 鱿鱼面 农心 Farmer's Heart,"1包/1pack only

Without HALAL logo

Weight: 97g&124g

Flavour:
1. NongShim Shin Ramen Non-Frying Noodle 97g (Best Before: 10/2021)
2. NongShim Squid Champong Noodle Soup 124g (Best Before: 10/2021)

Allergy Information:
This product may contains squid",5.0,3,16,True,sibehochiak,708,104,97%,within hours,977,4 months ago
[Made in KOREA] Nongshim Shin Ramyun Ramen Noodle Soup 韩国辛辣面 [Halal] [READY STOCK],,5.0,175,396,True,"Bundle Deals
Any 3 enjoy 8% off","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""9c75f321-c1d1-44e5-a483-8cb9ee4692c7"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""3f9d9090-405e-4b6b-b10c-3805b8caf0da"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""220d95d5-4308-4d7b-bf3c-e2d42d05f033"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""8bd137fb-a625-4402-b922-9d45d80b62a4"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""5d6cc0c9-c342-4882-9262-b2b6b7e1684e"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""d47693ac-7222-47b0-afec-d58f472a587b"")>"
[Loose] 火鸡面 / Samyang Ramen / 辛辣面 / Nongshim Shin Ramyun (Halal),"[Loose] 火鸡面 / Samyang Ramen / Nongshim Shin Ramyun (Halal) 

Product: Samyang Hot Chicken Ramen
Flavor: Original / Carbonara / Cheese / Spicyx2
Size: 140G
Origin: South Korea
*HALAL CERTIFIED*

Product: Nongshim Shin Ramyun
Flavor: Spicy Mushroom(Shin) / Kimchi / Shrimps / Neoguri Udon / Claypot
Size: 120G
Origin: China 
*HALAL CERTIFIED*

 ‼️Please read before purchase‼️

⚠️Buy 10 Pkgs and above Ramen get Free Box (recycle box)

⚠️Buy below 10 Pkgs will wrapping with bubble wrap and send with courier bag.

⚠️You can add on New Box / Extra Bubble wrap to protect your items. 

✅We will do our best to pack all the fragile products and make sure it's wrapped securely to reduce damage.

❌Please be noted that we are not bear any compensation, refund, or replacement if there is any damage found caused from delivery handling. 

❤️We hope that you can understand the unforeseen circumstances which may occur during the delivery process. 

🌹Thank you and enjoying shopping.

#samyang #spicy #ramen #hotchicken #korea #carbonara #pink #original #red #Spicy #2spicy #black #cheese #yellow #火鸡面 #loosepack #nongshim #shinramyun #halal ",4.8,45,202,True,fc_ch,227,31,94%,within hours,235,28 months ago
Korea Noodles Ramen Japchae Nongshim Shin Ramen Jjampong Jin Ramen Kalgguksu Spicy韩国极低麻辣汤面 无油炸辛拉面 炒冬粉 农心韩式辣味刀削面,"店主精心挑选，绝不能错过的韩国泡面！请注意！
有Nongshim Paldo Ottogi （都是泡面界大佬 
味道保证好吃！

1. Paldo Teumsae Spicy Ramyeon 八道极地辣面汤 120g
Best Before: 09/05/2021
那你吃过号称韩国泡面界里最辣的韩国辣汤面吗！
拉面有劲道，加上调味包，辣得好有劲儿！汤汁浓厚鲜辣爽滑，超道地的韩国味！

2. Korea Nongshim Jjampong Squid Seafood Noodles 农心鱿鱼味海鲜面 (海的味道）124g
Best Before:  11/07/2021

韩国农心鱿鱼味海鲜面，就是大家俗称的 “海的味道”拉面喽～
经典海鲜面配上一点点的辣味哦！


3. Ottogi Jin Ramen Mild (made in Korea) 不倒翁金辣面 （微辣） 120g
Best Before: 16/06/2021
这一款也是韩国制造，微辣款的好味道！

4. Ottogi Yeul Ramen (Hot Taste) 不倒翁『热』拉面 120g
Best Before: 18/05/2021
***contains beef 含有牛肉成分
这一款是经典『热』拉面！这款快熟面是用美味的辛辣红辣椒汤烹制的，这款拉面的特点是热辣辣的汤里带有牛肉香味，面条也是又厚又耐嚼。

5. Ottogi Japchae 不倒翁炒冬粉 75g
Best Before: 25/9/2021
爆款！！！
一直严重缺货的Ottogi Japchae回来了，喜欢冬粉的你，这一款instant的 味道超正宗！而且重点是快！
很好吃啊啊啊～

6. Non-frying Shin Ramen 无油炸辛拉面 97g
Best Before:   21/6/2021
Shin Ramyun Dried Noodle is not fried, its calories have been reduced to 350 kilocalories, about 30 percent less than conventional noodles.
To preserve Shin Ramyun’s signature taste, the company said it changed the composition of the soup and upped the ratio of shiitake mushrooms.
Healthier and even more tasty!

7. NONGSHIM Kalgguksu Spicy Noodle 103g 韩式海鲜香辣刀削面  农心韩式辣味刀削面
Best Before : 03/09/2021
喜欢吃宽面条的你，快来尝尝我们家的新品吧~ 
The harmonious mix of the original rice noodle and the spicy soup creates the “Kal Guk Su (Spicy Seafood Flavor)”

8. Jin Ramen Spicy 120g 不倒翁金辣面  - 03/09/2021
特辣款的JIN Ramen ~ ~

9. OTTOGI Real Cheese Ramen 135g - 31/7/2021


#korea #koreanoodles #nongshim #paldo #ottogi #shinramen #shinramyeon #shinramyun #辛拉面 #teumsae #jinramen #japchae #spicynoodles #seafood #jjampong #spicyramen #热拉面 #yeul #realcheese #cheeseramen #芝士拉面 ",4.9,543,2k,True,mukbang.my,67.2k,278,97%,within hours,63.5k,14 months ago
Halal Nongshim Shin Ramen (120g x 5),"Made In Shanghai
120g x 5
With Halal Logo ",4.9,189,520,True,kingsley230100,7.3k,217,89%,within hours,1.3k,4 years ago
🇰🇷1 PACK SALE🇰🇷Ready Stock🇰🇷Nongshim Shin Ramyun🇰🇷Shim Ramyun🇰🇷신라면🇰🇷辛拉面🍜辛辣面🍜即食拉面🍜Korea🍜Instant Noodles Ramen,"❤️️ Follow us for more happening deals!!!
 🚚 Ready Stock & Fast Shipping!!!
🌟Ready Stock🌟

MADE BY NONGSHIM CHINA

EXPIRATION DATE: 
1 year

#NONG SHIM #NONGSHIM #INSTANT NOODLE #STAPLE FOOD #GROCERY #HALAL #SHIN RAMYUN #giveaway #myshopeecheck #Ramen#shopping  #sale #bhfyp #TikTok #onlineshop   #malaysia #stayhome #olshop #online #trustedseller #murah #olshopmurah #delivery #shoppingonline #dirumahaja #sayajualmurah #bazaarpaknil #bisnisonline #bisnis #belanjaonline #shopee #tokopedia #bukalapak ",5.0,19,74,True,egl.trading.malaysia,1.2k,50,96%,within hours,1.2k,7 months ago
🍜 Shin Ramyun 🔥 Korean Ramen Nongshim Mi Segera Korea [Halal],"Nongshim products are available in Asia, America, Europe, Middle East, and Africa, aiming to spread the delicious flavors of Nongshim and Korea around the globe. 🔥🔥

Manufacturing plants for Nongshim products have been set up in America, Shanghai, Shenyang, Yanbian, Qingdao, Japan, and Australia.

Experience 🍜 Shin Ramyun 🍜 in Malaysia which is now available in more than 100 countries! ❤️❤️🍜🍜

Manufacturer: Nongshim 
Origin: Made in Shanghai 

Expiry date: 2/2022",5.0,3,14,False,euniefoodqq,30,25,100%,within minutes,17,7 months ago
SAMYANG RAMEN KIMCHI - ASSORTED KOREAN KIMCHI FLAVOR NOODLE SOUP / SHIN RAMYUN CHAPAGETTI PARASITE,"Halal

120g individual pack

Cooking directions
1. Put the noodles and soup base into 550ml of boiling water and cook for 4 minutes 
2. For better taste, add fresh vegetable and scallions 

============================
🛒🛒🛒 About us🛒🛒🛒

Annyeonghaseyo, yorobun.

We are a lovely mart selling ""Everything you need to fulfill your food craving"" mainly in korean products. Supplies only the best , tasty, famous and HALAL based products for all our lovely chingu (friends) in just a click away n receive right in front of your door step.

At Eonnie Korean Mart we are giving out only the best for our customer in term of service, efficiency , packaging & value for money.

Here's how you guys can find us:point_down:

🖥:convenience_store: Online store :
Fb pages - Eonnie Korean Mart
Instagram - @eonniekoreanmartjb

🖱Website :
www.eonniekoreanmart.com

🛒 Walkin Store
Eonnie Korean Mart
36-01 Jalan Seri Austin 3/55,
Taman Seri Austin , 81100
Johor Bahru , Johor.

:round_pushpin:Waze / Maps 
Eonnie Korean Mart

#gochujang #korean #kimchi #tteokbokki #readystock #seaweedsnack #halalproducts #eonniekoreanmart #muslimkoreanmart
#kimch#kimchihala#kimchikoreahala#kimchi#cabbage",5.0,64,175,True,pemborongbjbc,19.2k,122,94%,within hours,14k,4 years ago
Halal Nongshim Shin Ramen 5 x120g x 8bld,"100% imported
With Halal Logo
5x120g x 8bld
Made from China ",4.8,17,50,True,superme.store,2.9k,181,94%,within hours,592,22 months ago
Nongshim Shin Ramyun Mushroom / Cendawan Ramen 120gm,Nongshim Shin Ramyun Mushroom / Cendawan Ramen 120gm,4.9,14,42,False,captaincook18,70.8k,652,81%,within hours,12.8k,33 months ago
Korea Kimchi Ramen/Shin Ramen/Claypot Ramen Halal Certified 韩国拉面 辣白菜拉面/辛拉面/石锅拉面,"农心韩国拉面 Nongshim Farmer's Heart Korean Ramyun
📣Halal Certified

❇️桶装 Bowl:
🟡辣白菜拉面, Kimchi Ramen, 117g
🟡辛拉面, Shin Ramen, 117g
🟡石锅拉面, Claypot Ramen, 117g

❇️包装 Packet (1packet, 5 inside)
🟡辣白菜拉面, Kimchi Ramen, 5*120g
🟡辛拉面, Shin Ramen, 5*120g
🟡石锅拉面, Claypot Ramen, 5*120g",4.9,159,765,True,sangewei,21.3k,123,98%,within hours,16.4k,15 months ago
SHIN • KOREA OTTOGI JIN RAMEN HOT,,5.0,105,242,True,"Bundle Deals
Any 3 enjoy 2% off","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""fd8b6de9-e428-480f-b6ef-ade78ed5e012"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""c1c36436-7b87-4301-b123-b2eb89aaf53b"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""bffab11b-8648-4262-acf7-b4d41697742d"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""aface2e6-ecfb-4e88-976f-ebef927e61b8"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""3dd55614-40c1-45b0-9ec2-bd94263e0e35"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""47404880-d2b9-4095-90f1-3a06bbc906df"")>"
ORIGINAL KOREA ★Nongshim★ shin Ramyun BLACK 4ea Premium ramen Spicy Ramen Noodle/Black Toufu KIMCHi Ramen Noodle 4ae,"Quantity: 4 packets x 134g

- Hot and spicy noodle soup with fresh vegetables and savory beef broth
- Convenient for a quick meal on the go or a mid afternoon hearty snack
- Meaty broth enhanced with garlic and vegetables
- Red pepper and green onion added to give the noodles its signature 'kick'
- Product of Korea",4.7,11,31,True,qokxkow6ui,2.6k,230,94%,within hours,637,9 months ago
【Ready Stock】 (HALAL) Korea Nongshim Shin Ramyun Bowl / Kimchi Ramyun Bowl / Claypot Ramyun Bowl 117g 韩国辣白菜拉面 石锅拉面 辛拉面,"1. Nongshim Shin Ramyun Bowl  (117g)
- October 2021
2. Nongshim Kimchi Ramyun Bowl (117g)
- September 2021
3. Nongshim Claypot Ramyun Bowl (117g)
- December 2021",4.9,119,963,True,49shopp,23.4k,411,98%,within hours,9.7k,3 years ago
【Made in Japan】Nissin Big and Tasty Double Mayonnaise Sauce Yakisoba Japan Food Cup Noodles Noodle Instant Ramen【Direct from Japan】,,5.0,1,1,True,"Bundle Deals
Any 6 enjoy 5% off","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""ac28005c-6d89-4c2a-950a-1b7d82a3181c"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""c65d4f7e-98c7-40b1-8de7-beb861968d60"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""6816d182-e16e-442c-bb72-a09164a1b272"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""06da62d3-3553-46be-987e-fc3775f38876"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""482311d2-4c36-4de7-aceb-13fd50a6afe2"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""24379384-f894-425a-b097-92bba6681541"")>"
👍ORIGINAL KOREA IMPORT👍KIMCHI RAMEN 正品韩国进口泡菜拉面,,5.0,14,32,True,oldpapanfoodsupply,306,88,90%,within hours,453,14 months ago
Nongshim Shin Ramyun Single Pack 120g [Halal],,5.0,60,315,True,oligey0819,9.4k,224,99%,within minutes,8.9k,5 years ago
【Ready Stock】 Korea Ottogi Jin Ramen Mild / Jin Ramen Hot Spicy (120gx5),"1. Ottogi Jin Ramen Mild 
- Expiry date : December 2021
2. Ottogi Jin Ramen Spicy 
- Expiry date: January 2022

** Made in Korea",5.0,82,228,True,49shopp,23.4k,411,98%,within hours,9.7k,3 years ago
【Ready Stock】Nongshim Ramyun Noodle Cup (Halal) - Kimchi/ Shin/ Claypot 韩国辣白菜石锅辛拉面 70g,"1. Nongshim Shin Ramyun Cup (70g)
- October 2021
2. Nongshim Kimchi Ramyun Cup (70g)
- September 2021
3. Nongshim Claypot Ramyun Cup (70g)
- September 2021",4.9,65,604,True,49shopp,23.4k,411,98%,within hours,9.7k,3 years ago
HF Korea Nongshim Shin Red Super Spicy Ramen 韩国农心辛红超辣拉面,"📌 Product name: HF Korea Nongshim Shin Red Super Spicy Ramen 韩国农心辛红超辣拉面

👄 Flavor 口味: spicy

📆 EXP Date: Multipack 4th Nov 2021, Cup 17th Feb 2022

🚩 Country of Origin 製造國 : SOUTH KOREA 韓國

📢 Notice 注意: 
1) We'll packing your ordered product in corrugated box and wrapping with air bubble plastic material. Unless those products are suitable pack in courier plastic bag packaging material.
我們會將您訂購的產品包裝在瓦楞紙箱中，並用氣泡塑料包裝。除非這些產品適合用快遞塑料袋包裝材料包裝

📢 Shipping 关于发货: 
1) Please allow us to prepare your order within 1 to 3 working days (excluded Sunday) and deliver to your indicated destination as soon as we could (Monday to Saturday). 
請允許我們在1-3個工作日（星期日除外）內準備您的訂單，並儘快將其送到您指定的目的地（週一至週六）

❤️ Your Feedback :
- Dear, once received your goods, please leave us a comment to our service and the products as well, In order that we can improve to serve you more better in the future enclose more valuable and delicious products to you.
- 親愛的，收到您的貨物後，請給我們提供有關我們服務和產品的評論，以便將來我們可以改進為您提供更好的服務，從而為您提供更多有價值的美味產品",5.0,3,9,True,hongfongfoodstore,1.3k,92,99%,within hours,1k,5 months ago
SHIN·KOREA Paldo Teumsae Ramen (Original Spicy Soup / Stir-fry Grilled Flavor) - Super Spicy Noodle,"This is Original Made in Korea version, not the export version or Made in China as mostly sold in Malaysia's marketplace. 

Flavor & Size
- Original Spicy Soup (120g/495kcal per loose packet)
- Stir-fry Grilled Flavor (130g/495kcal per loose packet)

Highlights
Even if it's spicy, it's an addictive taste that you can't give up. This ramen is perfect for stressed people. You can eat it cooler with plenty of vegetables such as bean sprouts and green onions. Throw away all the stress of the day with the spiciness that cools down your head.

--------
Hello, I'm Shin! I sell 100% Authentic & Original Korean Groceries. 
-100% MADE IN KOREA.
- all Ready Stock in K.L, ship in 2 days.
- no Halal Certified.
- usually EXPIRE IN 6 MONTHS. (Please consider if you want to make a collection but not eating. )
- 98% of the description of the product is written in Korean. 

by SHIN.KOREA",5.0,10,16,True,imshin.,25.1k,421,99%,within hours,25.3k,5 years ago
Halal Nongshim Shin Ramen 120g,"Product from China
120gx1
With halal logo ",4.8,18,52,True,topstore.,25.1k,298,93%,within hours,6.1k,4 years ago
[Ottogi] Ramen Seasoning Base Powder (Jin Ramen / Beef Ramen) Korean Noodles Soup paste All-around Flavor large capacity Cooking ingredient Broth Sauce ichiran kimchi marutai samyang shin cheese nissin ippudo instant ramen myojo kiki maggie scallion,,5.0,26,79,True,"Bundle Deals
Any 3 enjoy 1% off","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""48e6fd3a-ac22-40f0-a4c7-1832c61ddc1f"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""97a4ceae-5fa8-45f5-aa5a-543b7803aea0"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""ea6ebcd6-73bb-439f-a9d7-c761babd97b2"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""2489ac71-6a29-4183-b8eb-5b4b26980047"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""37e6bcfb-792f-49f8-bf8e-f2ce0598ec2d"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""19f3df0a-c389-4527-8d02-b362f140c4ec"")>"
SHIN • KOREA OTTOGI CHAMKAE RAMYUN SESAME RAMEN,,5.0,87,191,True,"Bundle Deals
Any 3 enjoy 2% off","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""b49d267d-575c-4a6e-826c-446fb5e46627"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""8cef3053-4074-4797-8282-44ec6d04c874"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""90a720e5-a17c-4ba0-872a-b88213c7ea19"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""05218648-d5d9-4b81-90ec-3b3ed36f5a47"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""c8d5d1cb-b6e9-450a-9e85-9b28dd0368d6"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""14c58e18-c240-485b-8982-c6e321742a25"")>"
[Korean Ramen] Hot Spicy Ramen Challenge (Bulmawang Ramen Fire Fire Demon King/Extra Spicy Buldak Stir-fried/Paldo Teumsae Ramen/Yeol Ramyun/Nongshim Spicy Jjawang Ramen/Buldak Stir-Fried Noodle/Man Ramen/Nongshim Shin Ramen/Squid Jjambbong/Jin Ramen,,5.0,32,128,True,"Bundle Deals
Any 3 enjoy 1% off","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""3ef99d6f-a8a7-4b80-b80e-7d1bac9316a2"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""7fda031c-b875-4d57-bfb2-93ee3ccde95a"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""fd3a6d57-d319-4a1b-a047-42ce259ca352"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""9d174060-bec4-4121-a5f2-23e96e49570f"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""d4c3c108-9268-4783-81ba-dbd22fd0e502"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""1478a9af-a6b8-4746-9a65-e4cae5563c86"")>"
[Made in KOREA] Nongshim Shin Red Super Spicy Ramen Noodle Soup 韩国超级辛辣面 [Halal] [READY STOCK],,4.8,5,12,True,"Bundle Deals
Any 3 enjoy 8% off","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""2daa481e-dd09-4b4d-a126-3160cae918dd"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""4e7b6e7c-e163-4ce6-b766-9869dec5ccab"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""b7366fe8-1311-471c-8824-fab9a870ef11"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""f784ec74-a85a-4041-ae83-2516f10573de"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""3776abe5-564a-45f2-b7c4-1bdd0c4487b0"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""8d72ddb2-30a8-4c07-a42e-ff30350a5c87"")>"
Korea Nongshim] Shin Ramyun Ramen 韩国正宗辛拉面 (110GM X 5 PACK)," ✨Ready Stock✨
[Korea Nongshim] Shin Ramyun Ramen 韩国正宗辛拉面 

👉Packing: 110GM X 5 PACK
👉Best Before: 23.08.2021

NONGSHIM SHIN RAMYUN 농심신라면 农心辛拉麵
If you are a Shin Ramyun fan, you can taste the difference between the Korean Original version from the China Halal version. 

Shin ramyun is a staple noodle soup with a traditional spicy taste for all Asians worldwide.  It is very easy to prepare yet a satisfying meal which can be prepared within ten minutes.  All the ingredients are found within the package and additional ingredients such as kimchi, egg, green onions can be added to enhance its flavors and texture.",5.0,2,8,True,nclbeauty1491,9.8k,129,96%,within hours,3.5k,22 months ago
SHIN·KOREA Nong Shim Kamjamyeon - Real Potato Soup Ramen,,5.0,39,125,True,"Bundle Deals
Any 3 enjoy 2% off","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""434da317-fb4b-4108-bded-be21e48f6f9b"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""7dbba857-a22f-4693-bb82-53b94c993252"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""9033ff65-ff39-4476-bc13-fba905b7c993"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""949ea571-0f09-4953-af29-cb24fa8cca43"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""fff71239-c3ae-45a1-b39c-54080ff8df81"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""7ffb9d54-f4e8-427f-a423-7acb3522b7b6"")>"
[Made in Korea] NongShim Shin Ramyun Korea Ramen 纯韩国进口 农心 辛拉面 辛辣面 Mi Segera Korea Halal,"Shin Ramyun instant noodle that has been produced by the food company Nongshim in SOUTH KOREA, well known for its spicy flavour.

A standard package of Shin Ramyun consists of noodles, a packet of vegetable flakes and a packet of flavouring powder (soup base) which gives the soup a more intensely savory flavour.

Imported from Korea. (100% authenticity)
韩国原装进口

有嚼劲的非油炸大面饼，鲜肉熬出的爽口汤汁，加上辛辣味，简单易煮，值得大力推荐！

Expiry date: 
有效日期：MARCH 2022",5.0,3,9,False,euniefoodqq,30,25,100%,within minutes,17,7 months ago
